#JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,Result,Control,Discipline,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,DispEpoch,DispPeri,DispApo,DispInc,Comment
S26082,2000-008B,[Globalstar],2/8/2000,2006 Aug,2010 Nov  7,2011 Apr 20,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/379,  103.5 ,     913,     930, 52.0 ,4/22/2011,1493,1494,52,-
S26083,2000-008C,[Globalstar],2/8/2000,2006 Aug,2010 May  7,2010 May 21,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/379,  103.6 ,     922,     932, 52.0 ,5/23/2010,1600,1604,52.01,-
S26084,2000-008D,[Globalstar],2/8/2000,2006 Aug,2014 Jul 18,2015 Mar 21,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/379,  103.4 ,     913,     929, 52.0 ,2/22/2015,1717,1718,52,-
S31571,2007-020A,Globalstar M065,5/29/2007,2023 Jun 14,2023 Jun 16,2023 Jun 16,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,6/18/2023,1412,1421,51.99,-
S31573,2007-020C,Globalstar M069,5/29/2007,2023 Feb,2024 Sep  5,*,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,10/12/2024,1427,1428,51.99,-
S31574,2007-020D,Globalstar M072,5/29/2007,2023 Feb,2024 Nov  1,2025 Apr  7,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,10/12/2024,1413,1413,52.01,-
S31576,2007-020F,Globalstar M071,5/29/2007,2025 Jan  8,2024 Dec  3,2025 Jan  8,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,10/12/2024,1412,1414,52.01,-
S32263,2007-048A,Globalstar M067,10/20/2007,2017 May  5,2017 May  5,2017 May  5,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,5/7/2017,1503,1505,51.97,-
S32264,2007-048B,Globalstar M070,10/20/2007,2025 Aug,*,*,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,10/12/2024,1412,1413,51.97,-
S32265,2007-048C,Globalstar M066,10/20/2007,2023 Feb,2024 Jul 16,2024 Oct 26,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,10/12/2024,1476,1477,51.97,-
S32266,2007-048D,Globalstar M068,10/20/2007,2012 May  3,2012 May?,2012 May  3,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,5/8/2012,1411,1414,51.98,-
